index,开庭时间,案号,案由,开庭年月,案由类型,label_案由类型
0,2019年7月22日8点30分,（2019）桂0102民初3958号,建设工程施工合同纠纷,2019年07月,建设工程施工合同,建设工程施工合同
0,2019年7月22日8点30分,（2019）桂0102民3567号,排除妨害纠纷,2019年07月,排除妨害,排除妨害
0,2019年7月22日8点30分,（2018）桂0102民初1277号,租赁合同纠纷,2019年07月,租赁合同,租赁合同
0,2019年7月22日8点30分,（2019）桂0102民初4089～4091、4133号,融资租赁合同纠纷,2019年07月,融资租赁合同,其他
0,2019年7月22日8点30分,（2019）桂0102民初4066号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月22日8点30分,（2019）桂0102民初2328号,金融借款合同纠纷,2019年07月,金融借款合同,其他
0,2019年7月22日8点30分,（2019）桂0102民初4111号,不当得利纠纷,2019年07月,不当得利,其他
0,2019年7月22日8点30分,（2019）桂0102民初3351号,离婚纠纷,2019年07月,离婚,离婚
0,2019年7月22日15点30分,（2019）桂0102民初3947号,离婚纠纷,2019年07月,离婚,离婚
0,2019年7月22日15点30分,（2019）桂0102民初448号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月22日15点30分,（2019）桂0102民初4015号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月22日15点30分,（2019）桂0102民初2498号,机动车交通事故责任纠纷,2019年07月,机动车交通事故责任,机动车交通事故责任
0,2019年7月22日15点30分,（2019）桂0102民初3975号,房屋买卖合同纠纷,2019年07月,房屋买卖合同,房屋买卖合同
0,2019年7月22日15点30分,（2019）桂0102民初3521号,劳动合同纠纷,2019年07月,劳动合同,劳动合同
0,2019年7月22日15点30分,（2019）桂0102民初2262号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月22日15点30分,（2019）桂0102民初1381号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月23日8点30分,（2019）桂0102民初5392号,房屋租赁合同纠纷,2019年07月,房屋租赁合同,房屋租赁合同
0,2019年7月23日8点30分,（2019）桂0102民初3194号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月23日8点30分,（2019）桂0102民初3876号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月23日8点30分,（2019）桂0102民初4060号,民间借贷,2019年07月,民间借贷,民间借贷
